County_or_LAD,Counts,Population,People_per_museum,Museums_per_100k
Peterborough,6.0,215670.0,35945.0,2.782028098483795
Plymouth,5.0,264695.0,52939.0,1.8889665464024632
Portsmouth,12.0,208008.0,17334.0,5.769008884273681
Powys,25.0,133175.0,5327.0,18.772292096865026
Reading,4.0,174224.0,43556.0,2.2958949398475523
Redcar and Cleveland,6.0,136530.0,22755.0,4.394638540980004
Renfrewshire,7.0,183799.0,26257.0,3.808508207335187
Rhondda Cynon Taf,6.0,237654.0,39609.0,2.524678734631018
Rutland,3.0,41049.0,13683.0,7.308338814587444
Scottish Borders,33.0,116886.0,3542.0,28.2326369282891
Shetland Islands,17.0,22899.0,1347.0,74.23904974016332
Shropshire,23.0,323610.0,14070.0,7.107320540156361
Slough,1.0,158500.0,158500.0,0.6309148264984227
Somerset,47.0,571539.0,12160.404255319148,8.223410825857904
South Ayrshire,9.0,111600.0,12400.0,8.064516129032258
South Gloucestershire,8.0,290424.0,36303.0,2.754593284301573
South Lanarkshire,13.0,327197.0,25169.0,3.973141563033891
South Yorkshire,30.0,1375015.0,45833.833333333336,2.181794380424941
Southampton,6.0,248922.0,41487.0,2.4103936172777014
Southend-on-Sea,6.0,180684.0,30114.0,3.320714617785747
Staffordshire,40.0,876096.0,21902.4,4.5657096939148225
Stirling,6.0,92598.0,15433.0,6.479621590099139
Stockton-on-Tees,1.0,196595.0,196595.0,0.5086599354001882
Stoke-on-Trent,9.0,258363.0,28707.0,3.4834709304350855
Suffolk,63.0,760678.0,12074.253968253968,8.282085192420446
Surrey,40.0,1203121.0,30078.025,3.324686378178088
Swansea,7.0,238490.0,34070.0,2.9351335485764602
Swindon,7.0,233408.0,33344.0,2.9990403071017275
Telford and Wrekin,11.0,185537.0,16867.0,5.928736586233473
Thurrock,4.0,176000.0,44000.0,2.2727272727272725
Torbay,7.0,139321.0,19903.0,5.024368185700648
Torfaen,5.0,92275.0,18455.0,5.41858574911948
Tyne and Wear,26.0,1127188.0,43353.38461538462,2.3066249818131492
Vale of Glamorgan,4.0,131940.0,32985.0,3.0316810671517356
Warrington,6.0,210972.0,35162.0,2.843979295830726
Warwickshire,39.0,596782.0,15302.102564102564,6.5350496496208
West Berkshire,4.0,161448.0,40362.0,2.4775779198255785
West Dunbartonshire,4.0,88400.0,22100.0,4.524886877828054
West Lothian,11.0,181302.0,16482.0,6.067224851352991
West Midlands,54.0,2919645.0,54067.5,1.8495399269431727
West Northamptonshire,18.0,425718.0,23651.0,4.228151029554776
West Sussex,42.0,882674.0,21016.04761904762,4.758268624656441
West Yorkshire,67.0,2351569.0,35098.0447761194,2.8491615597926323
Wiltshire,42.0,510342.0,12151.0,8.229775327133568
Windsor and Maidenhead,9.0,153495.0,17055.0,5.8633831720902965
Wokingham,4.0,177504.0,44376.0,2.253470344330269
Worcestershire,32.0,603672.0,18864.75,5.300891875057978
Wrexham,10.0,135120.0,13512.0,7.400828892835997
York,24.0,202824.0,8451.0,11.832919181161992
