Time,Time Code,Country Name,Country Code, ,"Population, total [SP.POP.TOTL]",Net migration [SM.POP.NETM],Rural population [SP.RUR.TOTL],Urban population [SP.URB.TOTL]
,,,,Scale (Precision),Unit (0.0),Unit (0.0),Unit (0.0),Unit (0.0)
2021,YR2021,Ghana,GHA,,32518665.0,-11259.0,13662717.0,18855948.0
2021,YR2021,Gibraltar,GIB,,36858.0,561.0,0.0,36858.0
2021,YR2021,Greece,GRC,,10569207.0,-160277.0,2109825.0,8459382.0
2021,YR2021,Greenland,GRL,,56653.0,-324.0,7078.0,49575.0
2021,YR2021,Grenada,GRD,,116688.0,-69.0,73871.0,42817.0
2021,YR2021,Guam,GUM,,163730.0,-244.0,8162.0,155568.0
2021,YR2021,Guatemala,GTM,,17598650.0,-29908.0,8404235.0,9194415.0
2021,YR2021,Guinea,GIN,,13710513.0,-4373.0,8601427.0,5109086.0
2021,YR2021,Guinea-Bissau,GNB,,2058841.0,-1395.0,1140248.0,918593.0
2021,YR2021,Guyana,GUY,,815482.0,-689.0,596142.0,219340.0
2021,YR2021,Haiti,HTI,,11374586.0,-32952.0,4781421.0,6593165.0
2021,YR2021,Honduras,HND,,10289877.0,-5777.0,4220702.0,6069175.0
2021,YR2021,"Hong Kong SAR, China",HKG,,7413100.0,-3427.0,0.0,7413100.0
2021,YR2021,Hungary,HUN,,9630932.0,20372.0,2673065.0,6957867.0
2021,YR2021,Iceland,ISL,,372520.0,4911.0,22560.0,349960.0
2021,YR2021,India,IND,,1414203896.0,-348916.0,913674711.0,500529185.0
2021,YR2021,Indonesia,IDN,,276758053.0,-11248.0,118203364.0,158554689.0
2021,YR2021,"Iran, Islamic Rep.",IRN,,88455488.0,334967.0,20924146.0,67531342.0
2021,YR2021,Iraq,IRQ,,43071211.0,17474.0,12439396.0,30631815.0
2021,YR2021,Ireland,IRL,,5110585.0,27419.0,1844308.0,3266277.0
2021,YR2021,Isle of Man,IMN,,84106.0,192.0,39466.0,44640.0
2021,YR2021,Israel,ISR,,9371400.0,16859.0,686549.0,8684851.0
2021,YR2021,Italy,ITA,,59133173.0,157327.0,16944019.0,42189154.0
2021,YR2021,Jamaica,JAM,,2837682.0,-4665.0,1230078.0,1607604.0
2021,YR2021,Japan,JPN,,125681593.0,-34996.0,10221684.0,115459909.0
2021,YR2021,Jordan,JOR,,11066356.0,6573.0,926697.0,10139659.0
2021,YR2021,Kazakhstan,KAZ,,19743603.0,-9804.0,8327654.0,11415949.0
2021,YR2021,Kenya,KEN,,53219166.0,-52552.0,38055429.0,15163737.0
2021,YR2021,Kiribati,KIR,,128377.0,-348.0,56056.0,72321.0
