object_type,Cultures/periods,count
comb,Late Anglo-Saxon,6
jar,Early Bronze Age III,6
jar,Early Bronze Age IV,6
bowl,Kangxi,6
jar,Early Historic,6
knife,Prehistoric,6
knife,Viking,6
stirrup,Viking,6
stirrupjar,Late Helladic IIIC,6
fibula,Iron Age,6
jar,Halaf,6
jar,Han dynasty,6
coin,Merovingian,6
coin,Northern Dynasties,6
weight,Iron Age,6
coin,Southern Song dynasty,6
coin,Tenpo Era,6
coin,Xin dynasty,6
basket,Post-Christian,6
relief,Graeco-Roman,6
ticket,Anglo-Saxon,6
panel,Neo-Assyrian,6
panel,Phoenician,6
papyrus,21st Dynasty,6
phiale,Western Greek,6
knife,Ottoman dynasty,6
sickle,Ubaid,6
signet-ring,Late Medieval,6
knife,Finno-Ugrian,6
jar,Late Kofun,6
ring,Mesopotamian,6
ring,Ottoman dynasty,6
ring-stone,Neolithic,6
cistern,Medieval,6
eye-cup,Attic,6
burinonretouchedtruncation,Upper Palaeolithic,6
vessel,Middle Anglo-Saxon,6
amphoriskos,Attic,6
pebble,Mesopotamian,6
sarcophagus,Late Period,6
ferrule,Early Anglo-Saxon,6
pendant,Coptic,6
ear-ring,Roman,6
end-and-sidescraper,Mesolithic,6
bangle,Late Islamic,6
pedestalvase,Hallstatt,6
peg,Ottoman dynasty,6
endscraperonflake,Upper Palaeolithic,6
retouchedflake,Palaeolithic,6
sword-sheath,Romano-British,6
jar,Meiji Era,6
bowl,Early Historic,6
animalremains,Neo-Assyrian,6
jar,Middle Minoan III,6
transversescraper,Middle Palaeolithic,6
bottle,Mesopotamian,6
bowl,Aztec,6
chisel,Late Bronze Age,6
ring,Christian,6
ring,Merovingian,6
jewellery,Ottoman dynasty,6
jewellery-fitting,18th Dynasty,6
bowbrooch,Roman,6
triptychprint,Kyowa Era,6
jug,Late Helladic IIIA2,6
writing-tablet,Graeco-Roman,6
clamp,Romano-British,6
pendant,Late Bronze Age,6
drinking-horn,Early Anglo-Saxon,6
ear-ring,Iron Age,6
ear-ring,Islamic,6
ear-ring,Lombardic,6
penannularbracelet,Middle Bronze Age,6
temple-relief,Ptolemaic,6
wine-jar,18th Dynasty,6
coffin,Middle Kingdom,6
jue,Qing dynasty,6
jue,Shang dynasty,6
jug,18th Dynasty,6
jug,Abbasid dynasty,6
jug,Ayyubid dynasty,6
jug,Early Cypriot III,6
jug,Early Islamic,6
whetstone,Celtic,6
bowl,Anglo-Saxon,6
shabti,Ptolemaic,6
base,Late Period,6
rod,Anglo-Saxon,6
writing-tablet,Romano-British,6
coffin,Kofun Period,5
coffin,New Kingdom,5
coin,Genbun Era,5
coin,Indo-Greek,5
artefact,Ottoman dynasty,5
stirrup,Colonial,5
ribbon,Mesopotamian,5
ring,Finno-Ugrian,5
base,New Kingdom,5
base,Qing dynasty,5
shabti,Middle Kingdom,5
annularbrooch,Late Medieval,5
cippus,Etruscan,5
cista-fitting,Etruscan,5
coin,Indo-Parthian,5
coin,Jiading,5
retouchedblade,Middle Palaeolithic,5
retouchedflake,Upper Palaeolithic,5
retouchedlevalloispoint,Middle Palaeolithic,5
jewellery,Christian,5
joss-stick-holder,Qing dynasty,5
trozella,Messapian,5
truncatedbackedbladelet,Epi-palaeolithic,5
jug,Fatimid dynasty,5
jug,Hellenistic,5
jug,Mamluk dynasty,5
tablet,Early Dynastic III,5
tablet,Fara,5
coin,Kushano-Sasanian,5
coin,Mamluk dynasty,5
coin,Ming-Qing,5
coin,Nabataean,5
weight,Fatimid dynasty,5
coin,Persian,5
coin,Southern British Iron Age,5
chair,New Kingdom,5
relief,Neo-Assyrian,5
relief,New Kingdom,5
relief,Roman Imperial,5
reliquary-cross,Middle Byzantine,5
animalremains,Post-Christian,5
bowl,3rd Dynasty,5
jar-sealing,26th Dynasty,5
badge,Late Medieval,5
sheet,Early Anglo-Saxon,5
sheet,Romano-British,5
jug,New Kingdom,5
collar,Mesopotamian,5
collaredurn,Early Bronze Age,5
artefact,Post-Christian,5
artefact,Post-Medieval,5
arrow-head,Late Period,5
rasp,Taino,5
relief,Achaemenid,5
artefact,Roman,5
strap-union,Iron Age,5
strike-a-light,Germanic,5
string,Early Christian Period,5
stud,Anglo-Saxon,5
jar,Ptolemaic,5
juglet,Cypriot,5
juglet,Sasanian,5
kakemono-e,Edo Period,5
kantharos,Classical Greek,5
bottle,Neo-Assyrian,5
unguent-bottle,Roman,5
battle-axe,First Intermediate,5
battle-axe,Late Neolithic,5
pyxis,Late Bronze Age,5
pyxis,Middle Geometric I,5
quern,Prehistoric,5
radiate-headedbrooch,Merovingian,5
katana,Edo Period,5
key,Anglo-Saxon,5
key,Roman Period,5
bowl,Classic Christian Period,5
bowl,Classical Greek,5
bowl,Colonial,5
bowl,Badarian,5
bowl,C-Group Culture,5
shield,Islamic,5
backedblade,Neolithic/Bronze Age,5
backedblade,Upper Palaeolithic,5
strap-fitting,Merovingian,5
jar,Ninevite 5 Incised,5
tray,Edo Period,5
tray,Ming dynasty,5
tripod,Classic Maya,5
antefix,Western Greek,5
triptych,Late Medieval,5
wallcone,Mesopotamian,5
waster,Roman Imperial,5
weapon,Mesopotamian,5
albarello,Mamluk dynasty,5
conebeaker,Merovingian,5
cooking-pot,Middle Anglo-Saxon,5
barbedpoint,Magdalenian,5
barbedpoint,Mesolithic,5
rubber,Neolithic/Bronze Age,5
sealstone,Late Bronze Age I,5
jar,Late Iron Age,5
jar,Majiayao culture,5
animalremains,Palaeolithic,5
sagebe,Late Kofun,5
censer,Late Medieval,5
cord,Late Christian Period,5
cord,Post-Christian,5
celt,Taino,5
core,Middle Stone Age,5
core,Taino,5
celt,Classic Maya,5
celt,Mesopotamian,5
cornice,Coptic,5
cosmetic-palette,Naqada III,5
cosmetic-spoon,New Kingdom,5
takatsuki,Kofun Period,5
takatsuki,Late Kofun,5
knife,New Kingdom,5
sickle,Mesopotamian,5
sidescraper,Mesolithic,5
backedblade,Epi-palaeolithic,5
bowl,Formative,5
bowl,Graeco-Roman,5
knife,18th Dynasty,5
knife,Badarian,5
prism,Late Babylonian,5
prism,Old Babylonian,5
rod,Ottoman dynasty,5
costrel,Medieval,5
cauldron,Late Bronze Age,5
votiveoffering,Etruscan,5
album,Meiji Era,5
counterplate,Post-Medieval,5
jar,Graeco-Roman,5
jar,Jin dynasty,5
bowl,Hassuna,5
artefact,Early Bronze Age,5
bottle,Fatimid dynasty,5
artefact,Viking,5
stela,1st Dynasty,5
stela,20th Dynasty,5
print,Horeki Era,5
print,Islamic,5
print,Manen Era,5
bead,26th Dynasty,5
bead,Akkadian,5
stela,First Intermediate,5
cup,Abbasid dynasty,5
postcard,Heisei Era,5
bead,Graeco-Roman,5
pot,Early Historic,5
barbed-and-tangedarrow-head,Bronze Age,5
sample,Early Bronze Age,5
kohl-tube,New Kingdom,5
animalremains,Late Christian Period,5
vase,Colonial,5
vase,Early Dynastic,5
bowl,Iron Age/Romano-British,5
cup,Christian Period,5
cast,Neo-Assyrian,5
cup,Goryeo Dynasty,5
cup,Halaf,5
cup,Meroitic,5
kylix,Late Helladic IIIB,5
toy,Roman Period,5
jar,Christian Period,5
jar,Dilmun,5
bowl,Lambayeque,5
jar,Early Dynastic III,5
vase,Akkadian,5
kodogu,Kofun Period,5
cup,Middle Kingdom,5
bead,Hellenistic,5
tankard,Qing dynasty,5
tanto,Edo Period,5
tazza,Iron Age,5
salt,Post-Medieval,5
vessel-fitting,Western Greek,5
cup,Yuan dynasty,5
cylinderseal,12th Dynasty,5
cartonnage,Roman Period,5
textile,18th Dynasty,5
bead,Late Cypriot,5
lamp,Seljuq dynasty,5
skyphos,Middle Geometric II,5
slag,Neolithic,5
sleevefastener,Late Bronze Age,5
krater,Late Helladic IIIA2,5
kudurru,Babylonian,5
kylix,Classical Greek,5
kylix,Laconian,5
cartoon,Republic,5
statuette,Early Dynastic III,5
plaque,Roman Period,5
plaque,Tang dynasty,5
plaque,Third Dynasty of Ur,5
plaque,Third Intermediate,5
bead,Medieval,5
bowl,Late Geometric Ib,5
bowl,Late Helladic IIIC,5
bowl,Late Period,5
bowl,Late Predynastic,5
jar,2nd Dynasty,5
skyphos,Classical Greek,5
lamp,Mamluk dynasty,5
statuette,Old Babylonian,5
steelyard,Late Roman,5
stela,11th Dynasty,5
plaque,Orientalising Period,5
dagger,Romano-British,5
debitage,Late Glacial,5
vessel,Safavid dynasty,5
vessel,Seleucid Era,5
altar-vase,Yuan dynasty,5
bowl,Maya,5
inlay,Neo-Assyrian,5
intaglio,Early Byzantine,5
lamp-holder,Romano-British,5
lamp-stand,Roman Imperial,5
lantern,Roman,5
leafpoint,Early Bronze Age,5
lekythos,Apulian,5
capital,Archaic Greek,5
plaque,Iron Age,5
plaque,Late Babylonian,5
plaque,Late Roman,5
bead,Post-Christian,5
plaque,Middle Byzantine,5
plaque,Ming dynasty,5
seal,Second Intermediate,5
bowl,Middle Bronze Age,5
inlay,Early Dynastic III,5
axe,Shang dynasty,5
dihedralburin,Upper Palaeolithic,5
ding,Ming dynasty,5
diptychprint,Tenmei Era,5
plaque,12th Dynasty,5
plaque,Classic Maya,5
disc,Early Historic,5
disc,Ottoman dynasty,5
candlestick,Qing dynasty,5
discbrooch,Germanic,5
discbrooch,Lombardic,5
pin,Inca,5
pin,Late Anglo-Saxon,5
lid,Attic,5
animalremains,Classic Maya,5
incense-burner,Southern Song dynasty,5
lekythos,Western Greek,5
toolimplement,Lower Palaeolithic,5
textile,Early Anglo-Saxon,5
discbrooch,Romano-British,5
discbrooch,Viking,5
discoidalknife,Neolithic,5
candlestick,Islamic,5
candlestick,Mamluk dynasty,5
dish,Coptic,5
statue,Mesopotamian,5
statue,New Kingdom,5
incense-box,Heisei Era,5
incense-burner,Ancient South Arabian,5
bowl,Mughal dynasty,5
seal-impression,Mesopotamian,5
sealing,New Kingdom,5
levalloiscore,Lower Palaeolithic,5
lid,Archaic Greek,5
statue,Old Kingdom,5
statue,Ramesside,5
aryballos,Middle Corinthian,5
askos,Apulian,5
askos,Classical Greek,5
piercer,Upper Palaeolithic,5
pillow,Jin dynasty,5
dish,Goryeo Dynasty,5
vessel,Ramesside,5
amphora,Coptic,5
strap-end,Early Medieval,5
artefact,Graeco-Roman,5
artefact,Hopewell,5
vase,Mamluk dynasty,5
sandal,Late Christian Period,5
sarcophagus,26th Dynasty,5
arrow,Hopewell,5
dish,Neo-Assyrian,5
dish,New Kingdom,5
dish,Ptolemaic,5
textile,Late Horizon,5
textile,Paracas,5
sample,Mesolithic,5
pendant,Phoenician,5
pendant,Qing dynasty,5
pendant,Roman Period,5
pendant,Viking,5
calligraphy,Edo Period,5
door-socket,Mesopotamian,5
vessel,Momoyama Period,5
vessel,Ninevite 5 Incised,5
amphora,Ptolemaic,5
bowl,Ninevite 5,5
bowl,Old Assyrian,5
spear-head,Celtic,5
spear-head,Classic Maya,5
lid,Islamic,5
bombilla,Colonial,5
lid,Ming dynasty,5
lid,Ottoman dynasty,5
staple,Romano-British,5
statue,20th Dynasty,5
statue,25th Dynasty,5
drawing,Mughal dynasty,5
pendant,Eastern Zhou dynasty,5
pendant,Late Medieval,5
pendant,Middle Byzantine,5
drinking-vessel,Romano-British,5
vase,Tang dynasty,5
illustratedbook,Enkyo Era,5
ear-ring,Classical Greek,5
ear-ring,Graeco-Roman,5
ear-ring,Greek,5
pen-box,Qajar dynasty,5
penannularbracelet,Late Bronze Age,5
penannularbrooch,Finno-Ugrian,5
penannularbrooch,Iron Age,5
pendant,Bronze Age,5
mat,Ottoman dynasty,5
hydria,Western Greek,5
hypocephalus,Late Period,5
vase,Parthian,5
vase,Phoenician,5
ear-ring,Mesopotamian,5
ear-ring,Parthian,5
endscraper,Late Stone Age,5
bangle,New Kingdom,5
saw,Romano-British,5
sax,Late Anglo-Saxon,5
pedestalvase,Iron Age,5
endscraper,Middle Palaeolithic,5
endscraper,Prehistoric,5
engravedantlerboneivory,Magdalenian,5
eolith,Lower Palaeolithic,5
ewer,Safavid dynasty,5
burinonabreak,Upper Palaeolithic,5
burinonretouchedtruncation,Epi-palaeolithic,5
humanmummy,26th Dynasty,5
humanmummy,Late Period,5
bowl,Taino,5
bowl,Timurid dynasty,5
humanskeletalremains,Neolithic,5
mask,Roman,5
patera,Graeco-Roman,5
pectoralcross,Early Byzantine,5
pedestalbeaker,Merovingian,5
sarcophagus,Romano-British,5
fan-tailbrooch,Romano-British,5
fibula,Roman,5
stirrup,Late Anglo-Saxon,5
throwing-knife,Mahdiya,5
throwing-stick,New Kingdom,5
ticket,Norman,5
axe,Merovingian,5
axe,Mesolithic,5
hook,Early Anglo-Saxon,5
horse-trappings,Kofun Period,5
humancremation,Germanic,5
humancremation,Hallstatt,5
medallion,Early Byzantine,5
medallion,Late Roman,5
medallion,Middle Byzantine,5
microlith,Late Mesolithic/Neolithic,5
mirror,Greek,5
sculpture,Ancient South Arabian,5
block,Hellenistic,5
helmet,Italic,5
hiraka,Late Kofun,5
hoe,18th Dynasty,5
hoe,New Kingdom,5
hoe,Ubaid,5
hollow-basedarrow-head,Neolithic,5
bell,Eastern Zhou dynasty,5
stopper,Roman Period,5
artefact,Magdalenian,5
artefact,Meroitic,5
painting,Taisho Era,5
figure,Greek,5
vessel,Late Uruk,5
figure,Hoysala,5
figure,Iron Age,5
buckle,Nomad,5
buckle,Ostrogothic,5
buckle,Sarmatian,5
buckle,Viking,5
stamp-seal,Early Bronze Age,5
painting,Ansei Era,5
belt,Italic,5
painting,Koka Era,5
hashira-e,Kansei Era,5
hat,Islamic,5
head-rest,6th Dynasty,5
heart-amulet,New Kingdom,5
heart-scarab,Third Intermediate,5
seal,Middle Kingdom,5
mirror,Han dynasty,5
scalpel,Romano-British,5
stamp-seal,Indus Valley Civilisation,5
stamp-seal,Middle Bronze Age,5
stamp-seal,Neo-Hittite,5
stamp-seal,Roman,5
box,Yuan dynasty,5
hangingscroll,Tenpo Era,5
harness-fitting,Neo-Assyrian,5
harnesspendant,Late Kofun,5
box,Northern Song dynasty,5
vase,Teotihuacan,5
vessel,1st Dynasty,5
amulet,Second Intermediate,5
bucket,Late Bronze Age,5
bucket,Romano-British,5
figure,Seleucid Era,5
ostracon,Islamic,5
ostracon,Ramesside,5
armlet,Late Bronze Age,5
vessel,Joseon Dynasty,5
toolimplement,Late Neolithic,5
vessel,Bachwesi,5
amulet,Ottoman dynasty,5
vessel,C-Group Culture,5
vessel,Central America Period VI,5
handle,Ottoman dynasty,5
handle,Roman Period,5
handscroll,Meiji Era,5
ornament,Islamic,5
ornament,Ottoman dynasty,5
ornament,Qing dynasty,5
figure-mould,Ptolemaic,5
figurine,Chimu,5
staff,Mesopotamian,5
ointment-pot,Post-Medieval,5
olpe,Etruscan,5
belt-fitting,Frankish,5
spindle-whorl,Christian Period,5
axe,Islamic,5
spindle-whorl,Merovingian,5
spindle-whorl,Mesopotamian,5
spindle-whorl,X-Group Culture,5
toolimplement,Classic Christian Period,5
stamnos,Etruscan,5
sword,Anglo-Saxon,5
artefact,18th Dynasty,5
offering-table,Ptolemaic,5
belt-fitting,Nomad,5
belt-fitting,Romano-British,5
brush-washer,Ming dynasty,5
figurine,Late Classic Maya,5
financialinstrument,Guangxu,5
hammer,Romano-British,5
hammerstone,Lower Palaeolithic,5
model,6th Dynasty,5
block,Bronze Age,5
model,Han dynasty,5
model,Neolithic,5
finger-ring,Carolingian,5
vessel,Hassuna,5
amulet,25th Dynasty,5
amulet,6th Dynasty,5
newyear-flask,Late Period,5
nodule,Palaeolithic,5
notch,Palaeolithic,5
offering-table,18th Dynasty,5
bracelet,Etruscan,5
vessel,Chalcolithic,5
amulet,Late Uruk,5
amulet,Middle Kingdom,5
model,Second Intermediate,5
model,Ubaid,5
modelgroup,11th Dynasty,5
bladecore,Neolithic,5
bladelet,Epi-palaeolithic,5
finger-ring,Roman Period,5
briquetage,Romano-British,5
finger-ring,Sasanian,5
fire-steel,Merovingian,5
fish-hook,Romano-British,5
necklace,Roman Period,5
mosaic,Abbasid dynasty,5
mosque-lamp,Mamluk dynasty,5
glasssherd,Abbasid dynasty,5
gordioncup,Attic,5
grinder,Mesopotamian,5
guan,Ming dynasty,5
guttus,Attic,5
guttus,Western Greek,5
bifaciallyretouchedflake,Lower Palaeolithic,5
bifaciallyretouchedflake,Middle Palaeolithic,5
fitting,East Greek,5
vessel,Formative,5
vessel,Greek,5
amulet,Ancient Egypt,5
amulet,Coptic,5
storage-vessel,Islamic,5
furniture-fitting,Romano-British,5
game-counter,Roman,5
garment-hook,Eastern Zhou dynasty,5
garment-hook,Zhou dynasty,5
bracelet,Ottoman dynasty,5
bracelet,Post-Christian,5
girdle-hanger,Anglo-Saxon,5
money-box,Post-Medieval,5
mortar,Late Period,5
strap-end,Anglo-Saxon,5
amulet,Cypro-Archaic,5
brick,Mesopotamian,5
scraper,Epi-palaeolithic,5
necklace,Early Dynastic III,5
fitting,Roman Period,5
brick,Colonial,5
brick,Isin-Larsa,5
flake,Iron Age,5
nail,Christian,5
blade,Chalcolithic,5
nail,Post-Medieval,5
nail,X-Group Culture,5
naukraticfigure,Late Period,5
token,Roman,5
tomb-relief,12th Dynasty,5
frieze,Coptic,5
funerarycanister,Romano-British,5
funerarycone,18th Dynasty,5
furniture,Christian,5
furniture,Classic Christian Period,5
furniture,Early Christian Period,5
furniture,X-Group Culture,5
furniture-fitting,Late Period,5
furniture-fitting,Neo-Assyrian,5
scraper,Late Bronze Age,5
scraper,Mesopotamian,5
stupa,Buddhist,5
mould,Neolithic/Bronze Age,5
blade,Late Stone Age,5
mould,Romano-British,5
toilet-set,Early Anglo-Saxon,5
toilet-set,Romano-British,5
neck-amphora,South Ionian,5
brick,19th Dynasty,5
vessel,Early Dynastic III,5
spoon,Late Roman,5
mummy-case,Roman Period,5
mummy-label,Graeco-Roman,5
mummy-mask,Ptolemaic,5
mummy-mask,Roman Period,5
mummy-portrait,Roman Period,5
square-headedbrooch,Merovingian,5
mug,Qing dynasty,5
ball,Ottoman dynasty,5
coin,Chunxi,5
rod,Christian,5
rod,Iron Age,5
alabastron,East Greek,5
clasp,Etruscan,5
coffin,12th Dynasty,5
aeolipile,Fatimid dynasty,4
chisel,Chalcolithic,4
coffin,11th Dynasty,4
coffee-cup,Heisei Era,4
codex,Pre-Columbian,4
cloth-seal,Late Medieval,4
cleat,Early Anglo-Saxon,4
wrist-watch,Heisei Era,4
truncatedblade,Mesolithic,4
truncatedbladelet,Mesolithic,4
jug,Apulian,4
jug,Bronze Age,4
jug,Coptic,4
jug,Early Byzantine,4
bowbrooch,Anglo-Saxon,4
wine-jar,New Kingdom,4
coffin,25th Dynasty,4
weight,Ptolemaic,4
weight,Roman,4
chopper,Neolithic/Bronze Age,4
choppingtool,Middle Palaeolithic,4
chous,Attic,4
chisel,1st Dynasty,4
coin,Keicho Era,4
axe,Early Bronze Age IV,4
artefact,Badarian,4
artefact,Christian,4
blade,Late Bronze Age,4
blade,Late Mesolithic/Neolithic,4
mummy-mask,Graeco-Roman,4
axe,Early Dynastic III,4
axe,Inca,4
spoon,Qing dynasty,4
sprinkler,Islamic,4
spur,Romano-British,4
axe,Early Anglo-Saxon,4
tongs,Romano-British,4
mould,Song dynasty,4
cheek-piece,Neolithic,4
coin,Alchon,4
brazier,Edo Period,4
furniture,Meroitic,4
stupa,Nara Period,4
flask,Post-Medieval,4
flask,Romano-British,4
flataxe,Bronze Age,4
bread-stamp,Coptic,4
flower-pot-stand,Ming dynasty,4
flower-vase,Ming dynasty,4
foundation-deposit,18th Dynasty,4
neck-amphora,Etruscan,4
neck-amphora,Middle Geometric II,4
neck-ring,Finno-Ugrian,4
flake,Ubaid,4
vessel,Early Bronze Age II,4
amulet,Jemdet Nasr,4
scaraboid,Middle Kingdom,4
scaraboid,Second Intermediate,4
scraper,Early Bronze Age,4
scraper,Iron Age,4
scraper,Jomon Period,4
neck-ring,Livian,4
necklace,Early Anglo-Saxon,4
necklace,Italic,4
fitting,Western Greek,4
flagon,Romano-British,4
flake,Early Bronze Age,4
nail,Roman Period,4
neck-amphora,Chalcidian,4
token,Palmyrene,4
tomb-painting,18th Dynasty,4
tomb-relief,18th Dynasty,4
amulet,Bronze Age,4
squeeze-mould,Late Classic Maya,4
storage-jar,Medieval,4
stove,Han dynasty,4
furniture-fitting,New Kingdom,4
game-board,Mesopotamian,4
gaming-piece,Early Anglo-Saxon,4
bracelet,New Kingdom,4
monumentalcross,Late Anglo-Saxon,4
mortar,Medieval,4
blade,Ubaid,4
strainer,Mesopotamian,4
strap,Romano-British,4
artefact,Late Anglo-Saxon,4
fitting,Late Bronze Age,4
fitting,Late Christian Period,4
necklace,Neolithic/Bronze Age,4
necklace,Pan Grave,4
necklace,Ptolemaic,4
necklace,Second Intermediate,4
mortar,Neolithic,4
goblet,Islamic,4
goblet,Neo-Assyrian,4
gouge,Mesopotamian,4
bracelet,Mesopotamian,4
gu,Shang dynasty,4
gui,Qing dynasty,4
gun-flint,Post-Medieval,4
needle,Badarian,4
fitting,Graeco-Roman,4
vessel,Etruscan,4
vessel,Goryeo Dynasty,4
finger-ring,Middle Bronze Age,4
finger-ring,Mughal dynasty,4
finger-ring,Post-Medieval,4
habb,Early Islamic,4
habb,Middle Islamic,4
scraper,Predynastic,4
screen,Edo Period,4
screen,Meiji Era,4
scroll,Late Sasanian,4
modelgroup,6th Dynasty,4
brooch,Bronze Age,4
brooch,Celtic,4
finger-ring,Second Intermediate,4
fish-hook,Iron Age,4
fitting,Anglo-Saxon,4
binding,Anglo-Saxon,4
netting-needle,Romano-British,4
newyear-print,Qing dynasty,4
bezel,Islamic,4
bi,Han dynasty,4
nodule,Late Mesolithic/Neolithic,4
nodule,Mesolithic,4
bangle,18th Dynasty,4
surimono,Manen Era,4
amulet,Achaemenid,4
vessel,Indus Valley Civilisation,4
vessel,Iron Age II,4
finger-ring,Late Bronze Age,4
finger-ring,Late Islamic,4
brooch,Medieval,4
finger-ring,Livian,4
finger-ring,Meroitic,4
finger-ring,19th Dynasty,4
hammer,Iron Age,4
hammerstone,Mesolithic,4
hammerstone,Mesopotamian,4
hammerstone,Post-Christian,4
handle,Eastern Zhou dynasty,4
model,5th Dynasty,4
bladelet,Neolithic/Bronze Age,4
bladelet,Palaeolithic,4
bladeletcore,Late Mesolithic/Neolithic,4
model,Neo-Assyrian,4
finger-ring,Ancient South Arabian,4
finger-ring,Finno-Ugrian,4
amulet,19th Dynasty,4
amulet,1st Dynasty,4
net,Neolithic,4
figurine,Indus Valley Civilisation,4
figurine,Iron Age,4
figurine,Late Bronze Age,4
suspension-loop,Early Anglo-Saxon,4
suspension-loop,Iron Age,4
suspension-plate,Livian,4
suspension-ring,Early Anglo-Saxon,4
offering-table,Meroitic,4
offeringspoon,Late Period,4
belt-fitting,Roman,4
figurine,Moche,4
figurine,Roman,4
figurine,Seleucid Era,4
figurine,X-Group Culture,4
filter,Fatimid dynasty,4
brush-pot,Ming dynasty,4
scraper,Old Kingdom,4
spindle-whorl,Early Islamic,4
axe,Jomon Period,4
spindle-whorl,Ottoman dynasty,4
spindle-whorl,Roman Period,4
box-fitting,New Kingdom,4
toolimplement,Celtic,4
toolimplement,Early Neolithic,4
architecture,Islamic,4
toolimplement,Late Christian Period,4
stamp,Graeco-Roman,4
stamp,Late Period,4
stamp,Roman Period,4
stamp,Sasanian,4
awl,Ottoman dynasty,4
stamp-seal,Bronze Age,4
ornament,Post-Medieval,4
belt-buckle,Parthian,4
belt-fitting,Anglo-Saxon,4
figure,Western Zhou dynasty,4
figure,Zhou dynasty,4
figure-mould,Song dynasty,4
figurine,Chiriqu鑴欓,4
figurine,Early Bronze Age IV,4
figurine,Inca,4
squeeze-mould,Terminal Classic Maya,4
stake,Ottoman dynasty,4
oil-lamp,Roman Period,4
belt-fitting,Late Roman,4
tile,Qing dynasty,4
tile,Roman Period,4
tobacco-pipe,Post-Medieval,4
vessel,Lapui,4
mirror,Tang dynasty,4
mirror-case,Hellenistic,4
model,12th Dynasty,4
bracelet,Achaemenid,4
amulet,Old Kingdom,4
amulet,Ramesside,4
handscroll,Taisho Era,4
hanginglamp,Graeco-Roman,4
vessel,Late Byzantine,4
amphoriskos,Phoenician,4
figure,Sui dynasty,4
figure,Third Dynasty of Ur,4
armlet,Achaemenid,4
toggle,Middle Cypriot,4
ornament,Neo-Assyrian,4
harness-fitting,Late Kofun,4
harpoon,Magdalenian,4
vegetalremains,Early Anglo-Saxon,4
vegetalremains,Neolithic/Bronze Age,4
vessel,12th Dynasty,4
vessel,19th Dynasty,4
amulet,Sumerian,4
harpoon,Neolithic,4
figure,Qajar dynasty,4
figure,Ramesside,4
figure,Seljuq dynasty,4
ostracon,Roman,4
ovalbrooch,Livian,4
belt-buckle,Late Medieval,4
tile,19th Dynasty,4
tile,Iron Age,4
sculpture,Roman Period,4
seal,Kushan,4
seal,Late Period,4
seal,Mughal dynasty,4
mirror,Late Period,4
scabbardslide,Han dynasty,4
scale-armour,Romano-British,4
awl,Late Neolithic/Early Bronze Age,4
awl,Middle Bronze Age,4
stamp-seal,Late Period,4
stamp-seal,Persian,4
figure,Kangxi,4
figure,Late Bronze Age II,4
buckle,Goth,4
buckle,Late Anglo-Saxon,4
figure,Old Kingdom,4
scarab,22nd Dynasty,4
scarab,28th Dynasty,4
scarab,30th Dynasty,4
painting,Kyowa Era,4
painting,Shah Jahan reign,4
painting,Shaybanid dynasty,4
figure,Hongshan culture,4
figure,Huaxtec,4
tile,Middle Islamic,4
painting,Genroku Era,4
painting,Hindu,4
painting,Jahangir reign,4
hashira-e,Meiwa Era,4
head-rest,New Kingdom,4
box,Meiji Era,4
sculpture,New Kingdom,4
stopper,Late Antique,4
stopper,Mesopotamian,4
figure,Abbasid dynasty,4
figure,Ancient Egypt,4
bulla-pendant,Etruscan,4
painting,Timurid dynasty,4
panel,Carolingian,4
textile,Tiahuanaco,4
theatremask,Hellenistic,4
figure,Cypro-Classical II,4
figure,Early Dynastic,4
figure,Early Dynastic III,4
figure,Geometric Greek,4
bangle,Coptic,4
bangle,Indus Valley Civilisation,4
scarab,17th Dynasty,4
hook,Middle Anglo-Saxon,4
bowl,Uruk,4
medallion,Ottoman dynasty,4
sculpture,26th Dynasty,4
mirror,Qing dynasty,4
toolimplement,Badarian,4
helmet,Archaic Greek,4
helmet,Edo Period,4
hinge,Iron Age,4
box,Ancient Egypt,4
artefact,Indus Valley Civilisation,4
spear-head,Jomon Period,4
spear-head,Mesopotamian,4
panel,Romano-British,4
papyrus,12th Dynasty,4
papyrus,20th Dynasty,4
papyrus,27th Dynasty,4
papyrus,Ramesside,4
pavement,Mesopotamian,4
pebble,Iron Age,4
pebble,Prehistoric,4
pectoral,New Kingdom,4
sarcophagus,Ptolemaic,4
fastener,Early Anglo-Saxon,4
ferrule,Middle Bronze Age,4
figure,11th Dynasty,4
burin,Mesolithic,4
figure,1st Dynasty,4
figure,21st Dynasty,4
throwing-stick,18th Dynasty,4
panel,Mamluk dynasty,4
panel,Middle Byzantine,4
humancremation,Romano-British,4
humanmummy,New Kingdom,4
humanskeletalremains,Anglo-Saxon,4
bowl,Togau,4
humanskeletalremains,Neolithic/Bronze Age,4
humanskeletalremains,Palaeolithic,4
manuscript,Qajar dynasty,4
map,Showa Era,4
marble,Roman Period,4
mask,Mesopotamian,4
fan,Meiji Era,4
vessel,Middle Byzantine,4
vessel,Middle Minoan I,4
amphora,Roman Period,4
amphoriskos,East Greek,4
fan,Ming dynasty,4
ear-ring,Nomad,4
ear-scoop,Romano-British,4
eccentricflint,Classic Maya,4
eccentricflint,Maya,4
edgetool,Neolithic,4
endscraper,Epi-palaeolithic,4
saucer,Neo-Assyrian,4
bangle,Middle Kingdom,4
bangle,Naqada II,4
saw,Neolithic,4
saw,Predynastic,4
