object_type_clean,count
Bombilla,11
Bonang,1
Bonang Beater,1
Bond,10
Boning Rod,2
Bonnet,9
Book,201
Book Case,1
Book Clasp,4
Book Cover,50
Book End,5
Book Illustration,11
Book Label,7
Book Mark,3
Book Mount,5
Book Rest,1
Bookbindersstamp,11
Booklet,30
Bookmark,2
Bookofprints,146
Bookplate,11
Boomerang,19
Boot,67
Borer,91
Boshanlu,2
Boss,81
Bossedpenannularbrooch,7
Bosu,1
Bottle,572
Bottle Cap,1
Bottle Cover,1
Bottle Sealing,12
Bottle Ticket,1
Bottlejack,2
Bough Pot,1
Boundary Marker,2
Boundary Stone,8
Boundaryticket,1
Bouquet,2
Bouquetier,5
Bow,371
Bowbrooch,73
Bowdrill,32
Bowl,4213
Bowl Cover,4
Bowl Fitting,2
Bowl Holder,1
Bowl Mould,2
Bowl Stand,3
Box,387
Box Fitting,27
Box Weight,4
Boxbrooch,3
Boxmedal,1
Boxpliers,1
Bracelet,934
Bracket,19
Bracketclock,3
Bracteate,6
Bracteatependant,2
Bradawl,6
Branding Iron,3
Brassiere,4
Brazier,49
Bread Basket,7
Bread Mould,5
Bread Punch,2
Bread Stamp,21
Breadboard,1
Breast Band,3
Breast Chain,1
Breast Cloth,6
Breast Ornament,23
Breast Plate,10
Breeches,4
Brick,268
Brick Stamp,7
Bridalhead Dress,2
Bridle,10
Bridle Bit,4
Brigandine,3
Briquetage,14
Broadside,18
Brooch,500
Broom,35
Brush,61
Brush Case,1
Brush Container,1
Brush Hanger,1
Brush Holder,7
Brush Pot,28
Brush Rest,23
Brush Rest Stand,1
Brush Shaper,3
Brush Washer,36
Brushpen Rest,6
Buckelurne,1
Bucket,113
Buckle,394
Buckle Fitting,10
Buckle Mould,1
Buckler,10
Bugle,2
Buildingstone,2
Buildingstructure,7
Bulla Pendant,12
Bullet,9
Bullet Mould,1
Bulletcompass,1
Bullroarer,71
Bum Bag,1
Bundle Wrap,7
Burette,3
Burgonet,6
Burial Chamber,2
Burial Chest,3
Burial Cloth,12
Burial Pot,8
Burial Urn,8
Burin,22
Burinbusque,1
Burinonabackedblade,4
Burinonabreak,8
Burinonretouchedtruncation,14
Burinspall,6
Burner,4
Burnisher,27
Burnous,4
Burqa,25
Business Card,1
Bust,92
Busticket,6
Butter Boat,1
Butter Churn,7
Butter Cooler,1
Butter Dish,4
Butter Knife,1
Butter Pot,3
Butter Vessel,3
Buttock Ornament,12
Button,91
Button Holewatch,2
Button Mould,1
Buttonbrooch,18
Buttonseal,14
Byblospoint,3
Cabinet,6
Caddy Spoon,1
Cage,4
Cake Mould,5
Cake Plate,2
Cake Stamp,2
Cake Stand,3
Calculator,2
Calendar,46
