State_name,Counts,People_per_museum,Museums_per_100k,Population
Lewisham,2.0,150277.0,0.6654378248168382,300554.0
Lincolnshire,52.0,14776.192307692309,6.76764337642934,768362.0
Lisburn,4.0,37277.0,2.6826193094937896,149108.0
Liverpool,22.0,22095.0,4.5259108395564605,486090.0
Luton,3.0,75087.0,1.3317884587212168,225261.0
Manchester,21.0,26283.0,3.8047407069208234,551943.0
Medway,9.0,31086.0,3.2168821977739177,279774.0
Merseyside,11.0,45768.09090909091,2.1849283641441337,503449.0
Merthyr Tydfil,2.0,29418.0,3.3992793527772114,58836.0
Merton,6.0,35864.0,2.788311398616998,215184.0
Mid Ulster,10.0,15029.0,6.653802648213454,150290.0
Middlesbrough,4.0,35982.0,2.779167361458507,143928.0
Midlothian,5.0,19320.0,5.175983436853002,96600.0
Milton Keynes,9.0,31896.0,3.135189365437672,287064.0
Monmouthshire,8.0,11620.0,8.605851979345957,92960.0
Moray,14.0,6671.0,14.990256333383302,93394.0
Neath Port Talbot,6.0,23715.0,4.2167404596247104,142290.0
Newcastle upon Tyne,9.0,33347.0,2.9987705040933217,300123.0
Newham,1.0,351036.0,0.2848710673549152,351036.0
Newport,3.0,53197.0,1.8798052521758748,159591.0
Newry and Mourne,4.0,45519.0,2.1968848173290274,182076.0
Norfolk,79.0,11596.405063291139,8.623362106982086,916116.0
North Ayshire,12.0,11117.0,8.995232526760818,133404.0
North East Lincolnshire,3.0,52322.0,1.9112419250028667,156966.0
North Lanarkshire,7.0,48714.0,2.0527979636244202,340998.0
North Lincolnshire,10.0,16968.0,5.893446487505893,169680.0
North Somerset,6.0,36121.0,2.7684726336480163,216726.0
North Tyneside,4.0,52242.0,1.914168676543777,208968.0
North Yorkshire,63.0,8309.666666666666,12.034177062858518,523509.0
Northamptonshire,38.0,20664.157894736843,4.839297130296801,785238.0
Northumberland,44.0,7286.0,13.72495196266813,320584.0
Nottingham,13.0,24895.0,4.016870857601928,323635.0
Nottinghamshire,26.0,31724.0,3.152187618207036,824824.0
Oldham,2.0,121044.0,0.8261458643138033,242088.0
Orkney,13.0,1692.0,59.1016548463357,21996.0
Oxfordshire,58.0,12505.051724137931,7.996768202643621,725293.0
Pembrokeshire,19.0,6493.0,15.401201293700908,123367.0
Perthshire and Kinross,18.0,8378.0,11.936022917164001,150804.0
Peterborough,6.0,35945.0,2.782028098483795,215670.0
Plymouth,5.0,52939.0,1.8889665464024632,264695.0
Portsmouth,12.0,17334.0,5.769008884273681,208008.0
Powys,25.0,5327.0,18.772292096865026,133175.0
Reading,4.0,43556.0,2.2958949398475523,174224.0
Redbridge,1.0,310260.0,0.32231032037645846,310260.0
Redcar and Cleveland,6.0,22755.0,4.394638540980004,136530.0
Renfrewshire,7.0,26257.0,3.808508207335187,183799.0
"Rhondda, Cynon, Taff",6.0,39609.0,2.524678734631018,237654.0
Richmond upon Thames,16.0,12205.0,8.19336337566571,195280.0
Rochdale,4.0,55943.0,1.7875337396993367,223772.0
Rotherham,3.0,88602.0,1.1286426942958399,265806.0
Rutland,3.0,13683.0,7.308338814587444,41049.0
Salford,4.0,67481.0,1.4818986084972066,269924.0
Sandwell,7.0,48833.0,2.0477955480924783,341831.0
Scottish Borders,33.0,3542.0,28.2326369282891,116886.0
Sefton,4.0,69808.0,1.4325005730002291,279232.0
Sheffield,14.0,39752.0,2.51559669953713,556528.0
Shetland Islands,17.0,1347.0,74.23904974016332,22899.0
Shropshire,23.0,14070.0,7.107320540156361,323610.0
Slough,1.0,158500.0,0.6309148264984227,158500.0
Solihull,3.0,72080.0,1.3873473917869035,216240.0
Somerset,47.0,12160.404255319148,8.223410825857904,571539.0
South Ayrshire,9.0,12400.0,8.064516129032258,111600.0
South Gloucestershire,8.0,36303.0,2.754593284301573,290424.0
South Lanarkshire,13.0,25169.0,3.973141563033891,327197.0
South Tyneside,4.0,36944.0,2.7067994802944995,147776.0
Southampton,6.0,41487.0,2.4103936172777014,248922.0
Southend-on-Sea,6.0,30114.0,3.320714617785747,180684.0
Southwark,18.0,17091.0,5.851032707272834,307638.0
Staffordshire,40.0,21902.4,4.5657096939148225,876096.0
Stirling,6.0,15433.0,6.479621590099139,92598.0
Stockport,6.0,49129.0,2.035457672657697,294774.0
Stockton-on-Tees,1.0,196595.0,0.5086599354001882,196595.0
Stoke-on-Trent,9.0,28707.0,3.4834709304350855,258363.0
Suffolk,63.0,12074.253968253968,8.282085192420446,760678.0
Sunderland,7.0,39167.0,2.5531697602573593,274169.0
Surrey,40.0,30078.025,3.324686378178088,1203121.0
Sutton,4.0,52410.0,1.9080328181644726,209640.0
Swansea,7.0,34070.0,2.9351335485764602,238490.0
Swindon,7.0,33344.0,2.9990403071017275,233408.0
Tameside,4.0,57768.0,1.7310621797534969,231072.0
Telford and Wrekin,11.0,16867.0,5.928736586233473,185537.0
Thurrock,4.0,44000.0,2.2727272727272725,176000.0
Torbay,7.0,19903.0,5.024368185700648,139321.0
Torfaen,5.0,18455.0,5.41858574911948,92275.0
Tower Hamlets,13.0,23870.0,4.189359028068705,310310.0
Trafford,4.0,58763.0,1.7017511018838383,235052.0
Vale of Glamorgan,4.0,32985.0,3.0316810671517356,131940.0
Wakefield,12.0,29447.0,3.395931673854722,353364.0
Walsall,4.0,71031.0,1.4078360152609424,284124.0
Waltham Forest,3.0,92809.0,1.077481709747977,278427.0
Wandsworth,4.0,81877.0,1.22134421143911,327508.0
Warrington,6.0,35162.0,2.843979295830726,210972.0
Warwickshire,39.0,15302.102564102564,6.5350496496208,596782.0
West Berkshire,4.0,40362.0,2.4775779198255785,161448.0
West Dunbartonshire,4.0,22100.0,4.524886877828054,88400.0
West Lothian,11.0,16482.0,6.067224851352991,181302.0
West Sussex,42.0,21016.04761904762,4.758268624656441,882674.0
Westminster,43.0,4750.0,21.05263157894737,204250.0
Wigan,4.0,82333.0,1.214579816112616,329332.0
Wiltshire,42.0,12151.0,8.229775327133568,510342.0
Windsor and Maidenhead,9.0,17055.0,5.8633831720902965,153495.0
Wokingham,4.0,44376.0,2.253470344330269,177504.0
Wolverhampton,5.0,52745.0,1.8959143046734288,263725.0
Worcestershire,32.0,18864.75,5.300891875057978,603672.0
Wrexham,10.0,13512.0,7.400828892835997,135120.0
York,24.0,8451.0,11.832919181161992,202824.0
