State_name,Counts,People_per_museum,Museums_per_100k,Population,Area_km2,Museums_per_km2
Hammersmith and Fulham,6.0,30526.0,3.2758959575443884,183156.0,16.403599999999997,0.3658
Hampshire,68.0,19139.426470588234,5.224816958526479,1301481.0,3769.0,0.018
Haringey,2.0,132119.0,0.7568934067015342,264238.0,29.5985,0.0676
Harrow,4.0,65301.0,1.53137011684354,261204.0,50.4635,0.0793
Hartlepool,4.0,23085.0,4.331817197314273,92340.0,93.717,0.0427
Havering,2.0,131026.0,0.763207302367469,262052.0,112.3414,0.0178
Herefordshire,20.0,9352.0,10.6928999144568,187040.0,2180.0,0.0092
Hertfordshire,39.0,30738.410256410258,3.25325868077858,1198798.0,1640.0,0.0238
Highland,58.0,4059.0,24.636610002463662,235422.0,25653.0881,0.0023
Hillingdon,2.0,152955.0,0.6537870615540519,305910.0,115.7005,0.0173
Hounslow,9.0,32020.0,3.123048094940662,288180.0,55.9703,0.1608
Inner London,11.0,780.0,128.2051282051282,8580.0,319.0,0.0345
Inverclyde,2.0,39200.0,2.5510204081632653,78400.0,160.4385,0.0125
Isle of Man,15.0,5605.0,17.84121320249777,84075.0,572.0,0.0262
Isle of Wight,33.0,4256.0,23.49624060150376,140448.0,379.6199,0.0869
Isles of Scilly,2.0,1027.0,97.3709834469328,2054.0,16.3177,0.1226
Islington,9.0,24065.0,4.15541242468315,216585.0,14.8567,0.6058
Kensington and Chelsea,12.0,11948.0,8.369601606963508,143376.0,12.1257,0.9896
Kent,98.0,16082.285714285714,6.218021603183628,1576064.0,3736.0,0.0262
Kingston upon Hull,9.0,29668.0,3.370635027639207,267012.0,7158.37,0.0013
Kingston upon Thames,2.0,84032.0,1.19002284843869,168064.0,37.2652,0.0537
Kirklees,11.0,39383.0,2.5391666455069446,433213.0,408.5516,0.0269
Knowsley,1.0,154519.0,0.6471696037380517,154519.0,86.5001,0.0116
Lambeth,7.0,45379.0,2.203662487053483,317653.0,26.808000000000003,0.2611
Lancashire,49.0,25211.28571428572,3.966477597901167,1235353.0,3079.0,0.0159
Leeds,22.0,36907.0,2.709513100495841,811954.0,551.7067,0.0399
Leicester,11.0,33506.0,2.9845400823733064,368566.0,73.3422,0.15
Leicestershire,30.0,23745.93333333333,4.211247399554731,712378.0,27932.79,0.0011
Lewisham,2.0,150277.0,0.6654378248168382,300554.0,35.1483,0.0569
Lincolnshire,52.0,14776.192307692309,6.76764337642934,768362.0,6959.0,0.0075
Lisburn,4.0,37277.0,2.6826193094937896,149108.0,50578.53,0.0001
Liverpool,22.0,22095.0,4.5259108395564605,486090.0,111.8358,0.1967
Luton,3.0,75087.0,1.3317884587212168,225261.0,43.3526,0.0692
Manchester,21.0,26283.0,3.804740706920824,551943.0,115.6485,0.1816
Medway,9.0,31086.0,3.2168821977739177,279774.0,193.7142,0.0465
Merseyside,11.0,45768.09090909091,2.1849283641441337,503449.0,647.0,0.017
Merthyr Tydfil,2.0,29418.0,3.3992793527772114,58836.0,111.4462,0.0179
Merton,6.0,35864.0,2.788311398616998,215184.0,37.6248,0.1595
Mid Ulster,10.0,15029.0,6.653802648213454,150290.0,1831.3416,0.0055
Middlesbrough,4.0,35982.0,2.779167361458507,143928.0,53.881800000000005,0.0742
Midlothian,5.0,19320.0,5.175983436853002,96600.0,353.68230000000005,0.0141
Milton Keynes,9.0,31896.0,3.135189365437672,287064.0,308.6265,0.0292
Monmouthshire,8.0,11620.0,8.605851979345957,92960.0,849.1441,0.0094
Moray,14.0,6671.0,14.990256333383302,93394.0,2237.5557,0.0063
Neath Port Talbot,6.0,23715.0,4.2167404596247104,142290.0,441.2445,0.0136
Newcastle upon Tyne,9.0,33347.0,2.9987705040933217,300123.0,113.4515,0.0793
Newham,1.0,351036.0,0.2848710673549152,351036.0,36.198,0.0276
Newport,3.0,53197.0,1.8798052521758748,159591.0,190.4312,0.0158
Newry and Mourne,4.0,45519.0,2.1968848173290274,182076.0,168234.08,0.0
Norfolk,79.0,11596.40506329114,8.623362106982086,916116.0,5372.0,0.0147
North Ayshire,12.0,11117.0,8.995232526760818,133404.0,88528.45,0.0001
North East Lincolnshire,3.0,52322.0,1.9112419250028667,156966.0,192.6229,0.0156
